i,Action,Industry,Country,ИНН
Volaris Group,discontinue sales and support to Russia,Information Technology,Canada,
Volfas Engelman,suspend investment and withdraw from Russian market,Consumer Staples,Lithuania,
Waitrose,remove products from Russia,Consumer Staples,United Kingdom,
Walker's Shortbread,cancel all future orders to Russia,Consumer Staples,United Kingdom,
Wargaming,close operations; transfer of some business,Consumer Discretionary,Belarus,7806038436
Wear Medicine,terminate cooperation with Russian partners,Consumer Discretionary,Poland,
Weir Group,wind down Russian business in 2022,Industrials,United Kingdom,
WePlay,terminate all Russian operations,Consumer Discretionary,United States,5407065219
WeWork,planning divestment of Russian operations,Real Estate,United States,7719472051
Wex Inc.,ending relationship with Lukoil and subsidiaries,Information Technology,United States,
White & Case,wind down Russian operations,Industrials,United States,
Willis Towers Watson,fully exit Russia and transfer ownership to local management,Financials,United Kingdom,
Winston & Strawn,close Russian office,Industrials,United States,
Women's Tennis Association,suspend Russian partnerships,NGO,United States,
World Athletics Council,ban on all Russian competition,NGO,United States,
World Boxing Association,ban on all Russian competition,NGO,Panama,
World Boxing Organization,ban on all Russian competition,NGO,United States,7726472817
World Rowing Federation,ban on all Russian competition,NGO,United States,
World Rugby Union,ban on all Russian competition,NGO,Ireland,
WPP PLC,leave Russia,Communication Services,United Kingdom,
YIT,exits Russia projects,Industrials,Finland,5005053622
Zurich Insurance Group,sell Russian business to local team and exit market,Financials,Switzerland,7707062854
,,,,7707062854
McDonald’s,"850 заведений, которые контролировала материнская компания, были закрыты, вместо некоторых из них открылись рестораны «Вкусно – и точка»",Consumer Staples,,7710044140
Yum! Brands,"полностью закрыла более 70 ресторанов. А точки, которые сегодня открыты, работают по франшизе",Consumer Staples,,
Lindt & Sprüngli,остановил коммерческую деятельность в РФ,Consumer Staples,,
Lavazza,ушел с рынка по причине проблем с поставками,Consumer Staples,,7727553628
Intel и AMD,отказались от поставок в Беларусь и Россию из-за санкций,Information Technology,,
Twitch,"не производит выплаты денежных средств (даже тех, что остались на счетах до конца февраля)",Information Technology,,
OnlyFans,заблокировал без объявления возможность перевода средств для моделей из РФ и Беларуси,Information Technology,,
Vista Create,"закрыт доступ к сайту и приложениям, невозможна регистрация",Information Technology,,
Pexels,ограничили доступ,Information Technology,,
Pixabay,ограничили доступ,Information Technology,,
Google Pay,"ушли с рынка сразу после ухода международных платежных систем, но альтернатива для россиян есть",Information Technology,,
Apple Pay,"ушли с рынка сразу после ухода международных платежных систем, но альтернатива для россиян есть",Information Technology,,
Figma,закрыла аккаунты и отказалась от продаж,Information Technology,,9731051832
PayPal,остановил работу,Financials,,7750005796
Moody’s,приостановлена коммерческая деятельность,Financials,,7714594218
JP Morgan Chase,прекратил деятельность,Financials,,7740000076
Mubadala,остановил все инвестиции в нефтехимическую компанию «Сибур»,Financials,,7017126251
Saxo Bank,закрыл брокерские счета граждан РФ и Беларуси,Financials,,
Bloomberg,отключили все возможные операции,Financials,,7704233195
ASUS,остановили поставку из-за санкций,Industrials,,7702402151
Suzuki,приостановили поставки,Industrials,,7704558059
Rolls-Royce,приостановили поставки,Industrials,,7728849515
Volkswagen Group,остановлено производство и поставки,Industrials,,7702349370
General Motors,нет продаж и ввоза,Industrials,,5402059557
Lamborghini,"роизводятся в Европе, но их ввоз в Россию под запретом, потому что они входят в перечень предметов роскоши из-за внедренных санкций",Industrials,,
Infiniti,остановили ввоз,Industrials,,7715847006
Cartier,остановил деятельность,Consumer Staples,,7714469048
Reserved,закрыли торговые точки,Consumer Staples,,1514018103
Lush,прекратила поставки,Health Care,,7714229906
iHerb,из-за трудностей с поставками остановил доставку товаров в РФ,Health Care,,9710079940
Watsons,"закрыл все торговые залы, продал помещения, все 47 торговых точек закрылись к концу июня",Health Care,,
L’Occitane,бренд косметики закрыл все торговые помещения,Consumer Staples,,7707591760
IKEA,"не работает с 4 марта, после закрытия магазинов в РФ и Беларуси объявила о проведении онлайн-распродажи, которая проходит со множеством технических сбоев",Consumer Staples,,5047076050
Megogo,прекращает работу в России,Consumer Discretionary,,7703769593
Universal Pictures,остановлен прокат в РФ,Consumer Discretionary,,7703693915
Walt Disney,остановлен прокат,Consumer Discretionary,,7710608533
Sony Pictures,"остановил деятельность, запретил показ контента на TV",Consumer Discretionary,,7710744977
Globo,завершил работу,Industrials,,7728112810
Ampol,не покупают российскую нефть,Industrials,,3906016728
Viva Energy,не покупают российскую нефть,Industrials,,
Procter & Gamble Co,реализуют только повседневные товары,Health Care,,7701032910
Nurofen,"запустили передачу бизнеса, владельцами станут сотрудники или представители третьей стороны",Health Care,,
Strepsils,"запустили передачу бизнеса, владельцами станут сотрудники или представители третьей стороны",Health Care,,6671278333
Cillit Bang,"запустили передачу бизнеса, владельцами станут сотрудники или представители третьей стороны",Health Care,,
Vanish,"запустили передачу бизнеса, владельцами станут сотрудники или представители третьей стороны",Health Care,,9710040822
Durex,"запустили передачу бизнеса, владельцами станут сотрудники или представители третьей стороны",Health Care,,
Volvo,"остановила поставки в Россию, но официально проводит гарантийное обслуживание",Industrials,,5047105054
Peugeot,французская компания сохраняет производственные мощности в Калужской области,Industrials,,7701534807
PepsiCo,пока оставляет на российском рынке детские товары,Consumer Staples,,7705034202
Mondelez International,"остался в РФ, но не выделяет средства на маркетинг",Consumer Staples,,7707778655
Cитимобил,"завершил работу, но каршеринг Сити Драйв остается на рынке",Consumer Discretionary,,7724365672
Samsung Pay,доступен для карт «Мир» в некоторых банках,Information Technology,,
Adsense,Приостановили свою деятельность на територии РФ,Communication Services,США,
DMarket,Заморозили счета пользователей из России и Белоруссии и перевели их средства украинской армии,Financials,США,
BTC-Alpha,"Заблокировали аккаунты россиян, приостановили работу с рублями",Financials,Великобритания,
QMall,"Заблокировали аккаунты жителей России и Белоруссии, а также заморозили их активы на своей торговой платформе",Financials,Украина,
